City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Hofn,86,IS,1579151560,89,64.25,-15.21,39.45,13.35
1,Hermanus,8,ZA,1579151560,82,-34.42,19.23,75.99,7.0
2,Mayya,75,RU,1579151560,74,61.73,130.28,-23.8,2.24
3,Port Alfred,2,ZA,1579151560,94,-33.59,26.89,75.0,5.06
4,Punta Arenas,20,CL,1579151561,60,-53.15,-70.92,42.8,13.87
5,Busselton,0,AU,1579151395,18,-33.65,115.33,93.0,16.08
6,Chokurdakh,100,RU,1579151561,97,70.63,147.92,-19.32,11.79
7,Ploskoye,100,RU,1579151561,88,52.76,38.36,31.59,18.61
8,Antsohihy,100,MG,1579151561,77,-14.88,47.99,82.87,4.56
9,Waipawa,84,NZ,1579151561,72,-41.41,175.52,64.0,17.22
10,Saint-Joseph,27,RE,1579151561,66,-21.37,55.62,86.0,5.82
11,Thompson,20,CA,1579151561,67,55.74,-97.86,-25.6,8.05
12,Ushuaia,90,AR,1579151562,93,-54.8,-68.3,41.0,29.97
13,Khatanga,97,RU,1579151562,90,71.97,102.5,-10.57,9.57
14,Atuona,76,PF,1579151562,76,-9.8,-139.03,81.5,21.36
15,Bluff,3,NZ,1579151562,67,-46.6,168.33,60.82,8.48
16,Flagstaff,1,US,1579151494,68,35.2,-111.65,46.4,5.7
17,Luderitz,3,NA,1579151562,93,-26.65,15.16,64.4,1.12
18,Albany,90,US,1579151288,100,42.6,-73.97,34.0,3.36
19,Charleston,1,US,1579151528,100,32.78,-79.93,64.99,4.32
20,Bathsheba,40,BB,1579151563,65,13.22,-59.52,78.8,21.92
21,New Norfolk,75,AU,1579151563,62,-42.78,147.06,60.01,18.34
22,Gejiu,0,CN,1579151563,47,23.31,103.16,63.14,7.54
23,Laas,3,IT,1579151563,84,46.62,10.7,30.0,1.5
24,Talcahuano,0,CL,1579151563,62,-36.72,-73.12,55.4,11.41
25,Saint-Philippe,37,RE,1579151564,66,-21.36,55.77,86.0,5.82
26,La Palma,1,US,1579151564,81,33.85,-118.05,57.2,2.51
